tablescraper-selected-row,tablescraper-selected-row href,grey,linkified,linkified href
"This afternoon, I’m delivering remarks on the new sanctions the United States is imposing on Russia. Tune in.",https://twitter.com/POTUS/status/1382794044133228545,"Apr 15, 2021",https://t.co/p17h2rnL0t,http://t.co/p17h2rnL0t
"Right now, the United States ranks 13th in the world in infrastructure — but we have the power to change that. The American Jobs Plan will modernize our roads, fix our bridges, invest in public transportation, and make our infrastructure more resilient to climate change.",https://twitter.com/POTUS/status/1382764865438240772,"Apr 15, 2021",,
There are a lot of myths out there about the American Jobs Plan — so I asked @SecGranholm to clear a few things up.,https://twitter.com/POTUS/status/1382698785877409804,"Apr 15, 2021",https://t.co/FangHOgn49,http://t.co/FangHOgn49
"When we’ve invested in innovation throughout our history, we’ve been rewarded in extraordinary ways.

We have that opportunity once again.",https://twitter.com/POTUS/status/1382675543041138692,"Apr 15, 2021",https://t.co/NI5JysMQbY,http://t.co/NI5JysMQbY
I am immeasurably grateful for the bravery that members of our Armed Forces have shown through nearly two decades of combat and deployments in Afghanistan. They have never backed down. They have never wavered in their resolve. And they have paid a tremendous price on our behalf.,https://twitter.com/POTUS/status/1382488847318188041,"Apr 15, 2021",https://t.co/nbUEir0Wil,http://t.co/nbUEir0Wil
"Our diplomacy does not hinge on having U.S. boots in harm’s way. 

We have to change that thinking.",https://twitter.com/POTUS/status/1382431439170510853,"Apr 14, 2021",,
"I am now the fourth American president to preside over an American troop presence in Afghanistan.

I will not pass this responsibility to a fifth.",https://twitter.com/POTUS/status/1382414553305255936,"Apr 14, 2021",https://t.co/OpZK1Na5KP,http://t.co/OpZK1Na5KP
"We went to Afghanistan because of the horrific attacks on 9/11 that happened 20 years ago.

That cannot explain why we should remain there in 2021.

Rather than return to war with the Taliban, we have to focus on the challenges of the future.",https://twitter.com/POTUS/status/1382409575668854789,"Apr 14, 2021",,
"It is time to end America’s longest war. 

It is time for American troops to come home from Afghanistan.",https://twitter.com/POTUS/status/1382403602065592321,"Apr 14, 2021",,
"This afternoon, I’m announcing the withdrawal of U.S. troops from Afghanistan and providing an update on the path forward. Watch live.",https://twitter.com/POTUS/status/1382400616576737287,"Apr 14, 2021",https://t.co/SPiLX24VdM,http://t.co/SPiLX24VdM
"In less than three months, we’ve more than tripled the number of daily vaccinations.

That’s progress.",https://twitter.com/POTUS/status/1382379694394376194,"Apr 14, 2021",https://t.co/7AbWiOIypk,http://t.co/7AbWiOIypk
RT @WhiteHouse: The American Jobs Plan is a once-in-a-generation investment in our infrastructure and future. Watch as President Biden sits…,https://twitter.com/POTUS/status/1382352812286283788,"Apr 14, 2021",,
"This afternoon, Vice President Harris and I met with members of the Congressional Black Caucus at the White House. We’re committed to working together to make progress on everything from policing reform and voting rights to economic opportunity and racial equity.",https://twitter.com/POTUS/status/1382144082181558275,"Apr 14, 2021",https://t.co/TfLeJEgEyh,http://t.co/TfLeJEgEyh
"Today, the FDA and CDC recommended a pause in the use of the Johnson & Johnson vaccine. Here’s what you need to know:",https://twitter.com/POTUS/status/1382128972243210242,"Apr 14, 2021",https://t.co/QVtrEkqO8F,http://t.co/QVtrEkqO8F
