tablescraper-selected-row,linkified,linkified href,tablescraper-selected-row href,grey
"In each of us, there's a story to be shared—a story that’s sacred and can bring us together. I had such a good time talking with the @WellReadBlkGirl Book Club about A Promised Land because just as they learned about my story, I had a chance to learn from theirs.",https://t.co/u6vAXUSK5s,http://t.co/u6vAXUSK5s,https://twitter.com/BarackObama/status/1364659101658198024,"Feb 24, 2021"
"Even as we focus on fighting COVID-19, it’s important to recognize that there’s another pandemic raging right now—one that’s decades in the making and unique to the United States. We need to treat gun violence with the same urgency and resolve.",https://t.co/3nD7uc194V,http://t.co/3nD7uc194V,https://twitter.com/BarackObama/status/1364598346128781317,"Feb 24, 2021"
"Sending my prayers to @TigerWoods and his family tonight—here’s to a speedy recovery for the GOAT of golf. If we’ve learned anything over the years, it’s to never count Tiger out.",,,https://twitter.com/BarackObama/status/1364391500864499715,"Feb 24, 2021"
"Last year, I sat down with my good friend Bruce @Springsteen for a long and meaningful conversation that touched on so much of what we’re all dealing with these days. I’m excited to share it with you over the next few weeks:",https://t.co/sQACD08AWx,http://t.co/sQACD08AWx,https://twitter.com/BarackObama/status/1363905910389805060,"Feb 22, 2021"
"For decades, John Lewis not only gave all of himself to the cause of freedom and justice, but inspired generations that followed to try to live up to his example. On his birthday, we honor his memory, and work toward continuing his legacy by creating change in our communities.",,,https://twitter.com/BarackObama/status/1363665518453006336,"Feb 22, 2021"
"I want to share this inspiring book about the events leading up to the 1960 election, from Dr. King's imprisonment to student activism in Atlanta to JFK's campaign. It's a story we can all learn from—a story of overlooked heroes and the power each of us has to create change.",https://t.co/yIaNJpRq7M,http://t.co/yIaNJpRq7M,https://twitter.com/BarackObama/status/1362870605029212163,"Feb 19, 2021"
Congrats to @NASAJPL on landing @MarsPersevere today! Looking forward to seeing what this mission uncovers—and proud our administration invested in this effort eight years ago to help continue America’s rich tradition of exploration and discovery.,,,https://twitter.com/BarackObama/status/1362535835682357254,"Feb 18, 2021"
"I felt inspired and hopeful after speaking with students in @TheTellingRoom’s Young Writers & Leaders program. I wrote #APromisedLand in part because I hoped to reach young people like those in this group—the unique voices of a new generation, energized and unafraid to dream big.",https://t.co/LP1Ri8Epva,http://t.co/LP1Ri8Epva,https://twitter.com/BarackObama/status/1362477653824004097,"Feb 18, 2021"
"Michelle and I are thinking of everyone across the country braving the winter storms this week. Here’s an overview of how you can help—or, if you’re in Texas, where you can go to stay warm or get support.",https://t.co/zDnLrjOZ5i,http://t.co/zDnLrjOZ5i,https://twitter.com/BarackObama/status/1362148679772237825,"Feb 17, 2021"
"Great news: Thanks to President Biden, starting today, you can go to  to sign up for health insurance. If you’re uninsured or hoping to change plans, here’s a good article that can help you figure out if you’re eligible.",https://t.co/ob1Ynoesod,http://t.co/ob1Ynoesod,https://twitter.com/BarackObama/status/1361423349495328773,"Feb 15, 2021"
Happy Valentine’s Day to the three who never fail to make me smile. Your dazzling light makes everything brighter.,https://t.co/fMcdwf2j20,http://t.co/fMcdwf2j20,https://twitter.com/BarackObama/status/1360952254627520512,"Feb 14, 2021"
