tweet,linkified,linkified href,tablescraper-selected-row href,grey
"I've just received my first Oxford/AstraZeneca vaccine dose.

Thank you to all of the incredible scientists, NHS staff and volunteers who helped make this happen.

Getting the jab is the best thing we can do to get back to the lives we miss so much.

Let's get the jab done.",https://t.co/mQCTMAkB8d,http://t.co/mQCTMAkB8d,https://twitter.com/BorisJohnson/status/1372984053624938500,"Mar 19, 2021"
Spoke to @MarkRutte this afternoon to congratulate him on his re-election. The UK and the Netherlands will continue to be close partners and I look forward to working with Mark in the coming years 🇬🇧🇳🇱,,,https://twitter.com/BorisJohnson/status/1372923529650446337,"Mar 19, 2021"
"The sheer endurance and determination of @BillyMonger in his 140 mile challenge for @ComicRelief is an inspiration to us all. 

Thank you Billy and everyone who is supporting this important cause. 

#RedNoseDay",https://t.co/UP8YLJDcXH,http://t.co/UP8YLJDcXH,https://twitter.com/BorisJohnson/status/1372843055766765568,"Mar 19, 2021"
"The Oxford/AstraZeneca jab is safe and the Pfizer jab is safe - the thing that isn’t safe is catching COVID. 

Which is why it’s so important that we all get our jabs as soon as our turn comes.",https://t.co/WREOjG4FIX,http://t.co/WREOjG4FIX,https://twitter.com/BorisJohnson/status/1372655716419444741,"Mar 18, 2021"
WATCH LIVE: An update on coronavirus (18 March 2021),https://t.co/TwDIbvwJpE,http://t.co/TwDIbvwJpE,https://twitter.com/BorisJohnson/status/1372593621921316872,"Mar 18, 2021"
"Congratulations @MarkRutte on winning the largest vote share in yesterday's election in the Netherlands. The UK and the Netherlands are close partners and old friends and I look forward to continuing to work with you in the coming years.

🇬🇧🇳🇱",,,https://twitter.com/BorisJohnson/status/1372573224123441160,"Mar 18, 2021"
"Today I visited Colham Manor Primary School in my constituency. 

Huge thanks to everyone who has worked so hard to get children back into the classroom. School is the best place for their education, wellbeing and development.",https://t.co/cfKp1PK85m,http://t.co/cfKp1PK85m,https://twitter.com/BorisJohnson/status/1372570375108837379,"Mar 18, 2021"
"We are doing everything in our power to protect the most vulnerable in our society.
 
That is why we are investing £212m in a scheme to create homes and provide specialised support dedicated to helping rough sleepers rebuild their lives.",https://t.co/l5oEtPqcyX,http://t.co/l5oEtPqcyX,https://twitter.com/BorisJohnson/status/1372557661456232451,"Mar 18, 2021"
"I'm sorry to hear that @MagufuliJP, President of Tanzania, has passed away. My thoughts are with his loved ones and the people of Tanzania.",,,https://twitter.com/BorisJohnson/status/1372305944344989696,"Mar 17, 2021"
"The latest milestone is an incredible achievement – representing 25 million reasons to be confident for the future as we cautiously reopen society. 
 
Thank you to the brilliant NHS, scientists, armed forces, volunteers and all those who’ve helped our rollout.",https://t.co/bR9sGMU3bo,http://t.co/bR9sGMU3bo,https://twitter.com/BorisJohnson/status/1372212773300625414,"Mar 17, 2021"
